Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"S Anasuri, GP Rusum","Software Supply Chain Security: Policy, Tooling, and Real-World Incidents",2024,"International Journal of Emerging Trends in …","ijetcsit.org","https://ijetcsit.org/index.php/ijetcsit/article/view/369","https://scholar.google.com/scholar?cites=12916114628803161502&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-16 00:46:44","","","",,,,,,20,10.00,10,2,2,"… Standardized software inventories, CycloneDX creates encrypted Bom generators like CycloneDX and SPDX, which can produce standardized software inventories that enable …","https://ijetcsit.org/index.php/ijetcsit/article/download/369/320","https://scholar.google.com/scholar?q=related:nu0JiNJBP7MJ:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
174,"J Martínez, JM Durán","Software supply chain attacks, a threat to global cybersecurity: SolarWinds' case study",2021,"International Journal of Safety and Security …","iieta.org","https://iieta.org/sites/default/files/pdf/2021-11/11.05_05.pdf","https://scholar.google.com/scholar?cites=16066905663317321020&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-16 00:46:44","PDF","","",,,,,,174,34.80,87,2,5,"… SBOM is useful to those who develop or manufacture … to create a product; an SBOM allows the builder to make sure … Bill of Materials (SBOM) to defend against supply chain attacks. of …","https://iieta.org/sites/default/files/pdf/2021-11/11.05_05.pdf","https://scholar.google.com/scholar?q=related:PKW9HZMd-d4J:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
1,"E Falk, E Svensson","Framework Insights and Automated Attestation for Software Supply Chain Security",2025,"","odr.chalmers.se","https://odr.chalmers.se/server/api/core/bitstreams/adeeee18-5933-4ae9-96f6-ed8c6ec1a01c/content","https://scholar.google.com/scholar?cites=8430142234564010216&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-16 00:46:44","PDF","","",,,,,,1,1.00,1,2,1,"… and leverage all capabilities within an SBOM. We argue that the SBOM, already a regulatory … of adherence to critical Software Supply Chain Security (SSCS) framework guidelines. …","https://odr.chalmers.se/server/api/core/bitstreams/adeeee18-5933-4ae9-96f6-ed8c6ec1a01c/content","https://scholar.google.com/scholar?q=related:6KA0kbLh_XQJ:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
6,"C Ozkan, X Zou, D Singelee","Supply Chain Insecurity: The Lack of Integrity Protection in SBOM Solutions",2024,"arXiv preprint arXiv:2412.05138","arxiv.org","https://arxiv.org/abs/2412.05138","https://scholar.google.com/scholar?cites=7856506943796134805&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-16 00:46:44","","","",,,,,,6,3.00,2,3,2,"… software supply chain security. Under the Executive Order issued by President Biden, the adoption of the SBOM … The executive order mandates that an SBOM must be provided for all …","https://arxiv.org/pdf/2412.05138","https://scholar.google.com/scholar?q=related:lcNbmHDrB20J:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
2,"EJ O'Donoghue","Using software bill of materials for software supply chain security and its generation impact on vulnerability detection",2024,"","cs.montana.edu","https://www.cs.montana.edu/izurieta/thesis/ODonoghue.pdf","https://scholar.google.com/scholar?cites=11785975693130471814&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-16 00:46:44","PDF","","",,,,,,2,1.00,2,1,2,"… a comprehensive overview of how SBOMs can be used to help enhance software supply chain security. This study assesses the effectiveness of actualizing SBOM security use cases. …","https://www.cs.montana.edu/izurieta/thesis/ODonoghue.pdf","https://scholar.google.com/scholar?q=related:hhluuHIykKMJ:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"P Kern","How to Ensure the Software Supply Chain Security of a Product without Disclosing it/Author Philipp Kern, BSc",2025,"","epub.jku.at","https://epub.jku.at/obvulihs/content/titleinfo/11760264","",6,"2026-05-16 00:46:44","","","",,,,,,0,0.00,0,1,1,"… CycloneDX is a SBOM standard with its primary focus on software supply chain security. Apart from SBOMs, the capabilities of CycloneDX provide a wide range of different BOM types, a …","https://epub.jku.at/obvulihs/content/titleinfo/11760264/full.pdf","https://scholar.google.com/scholar?q=related:wLPihOe0vLQJ:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
8,"D Garcia, MT Mirakorhli, S Dillon, K Laporte…","A landscape study of open-source tools for software bill of materials (SBOM) and supply chain security",2025,"2025 IEEE/ACM 3rd …","computer.org","https://www.computer.org/csdl/proceedings-article/svm/2025/146800a037/27HvBe8gLCg","https://scholar.google.com/scholar?cites=8883015501805840819&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-16 00:46:44","","","",,,,,,8,8.00,2,5,1,"… To address this complexity, the adoption of a Software Bill of Materials (SBOM) … SBOM. We investigate emerging use cases in software supply chain security and identify gaps in SBOM …","","https://scholar.google.com/scholar?q=related:s-ls34jPRnsJ:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
97,"L Williams, G Benedetti, S Hamer, R Paramitha…","Research directions in software supply chain security",2025,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3714464","https://scholar.google.com/scholar?cites=6747948777663840487&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-16 00:46:44","","10.1145/3714464","",,,,,,97,97.00,19,5,1,"… such as SLSA and the use of a SBOM emphasize transparency in build systems to reduce the risks associated with software supply chain attacks. SLSA. The SLSA framework provides …","https://dl.acm.org/doi/pdf/10.1145/3714464","https://scholar.google.com/scholar?q=related:50AvP6mHpV0J:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"S Hossain","Securing the Software Supply Chain: The Role of SBOM in Modern Development",2025,"","aaltodoc.aalto.fi","https://aaltodoc.aalto.fi/items/a1bc95bd-1121-49a4-ace7-1738a762b202","",9,"2026-05-16 00:46:44","","","",,,,,,0,0.00,0,1,1,"… Software supply chain security has become increasingly … This thesis has studied software supply chain security through … in a Software Bill of Materials (SBOM) format by using these open…","https://aaltodoc.aalto.fi/bitstreams/ba5d8e7a-dcde-427f-a056-02e19b51ce1b/download","https://scholar.google.com/scholar?q=related:i1dr5pE2uf8J:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
17,"BM Reichert, RR Obelheiro","Software supply chain security: a systematic literature review",2024,"International Journal of Computers …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/1206212X.2024.2390978","https://scholar.google.com/scholar?cites=14891859159222056313&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-16 00:46:44","","10.1080/1206212X.2024.2390978","",,,,,,17,8.50,9,2,2,"… This paper aims to describe the state-of-the-art of software supply chain security through a systematic literature review (SLR). Given that ‘software supply chain’ can refer to the process …","","https://scholar.google.com/scholar?q=related:efWTPgGDqs4J:scholar.google.com/&scioq=%22software+supply+chain+security%22%7C%22supply+chain+attacks%22+%22sbom%22%7C%22spdx%22%7C%22cyclonedx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
