Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"J Bufalino, M Di Francesco, A Blaise…","SBOMproof: Beyond Alleged SBOM Compliance for Supply Chain Security of Container Images",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2510.05798","",1,"2026-05-16 00:44:33","","","",,,,,,0,0.00,0,4,1,"… Our study also uncovered a novel vulnerability, the SBOM confusion, where incompatibilities in the SBOM prevent reliable vulnerability detection across tools. We finally implement a …","https://arxiv.org/pdf/2510.05798","https://scholar.google.com/scholar?q=related:ZNrZHcxmyM8J:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
41,"S Anasuri","Secure Software Supply Chains in Open-Source Ecosystems",2023,"International Journal of Emerging Trends in Computer …","ijetcsit.org","https://www.ijetcsit.org/index.php/ijetcsit/article/view/351","https://scholar.google.com/scholar?cites=564915148610762141&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-16 00:44:33","","","",,,,,,41,13.67,41,1,3,"… the Nation's Cybersecurity requires the use of SBOM and secures development guidelines in … These statistics indicate the increasing awareness that Kubernetes security is no longer all …","https://www.ijetcsit.org/index.php/ijetcsit/article/download/351/302","https://scholar.google.com/scholar?q=related:nXUuqVX71gcJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"C Moschos","Securing supply chain components: an offensive approach on containerization technology",2025,"","dione.lib.unipi.gr","https://dione.lib.unipi.gr/xmlui/handle/unipi/18308","",3,"2026-05-16 00:44:33","","","",,,,,,0,0.00,0,1,1,"… In effect, supply chain security becomes an inseparable part of Kubernetes security, because any compromise upstream can cascade downstream and undermine the entire system’s …","https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/18308/thesis_p16188_cmoschos_2025-final.pdf?sequence=1","https://scholar.google.com/scholar?q=related:awJniiLub2QJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
1,"F Siavashi","A Pipeline Architecture for Container Security",2024,"","theseus.fi","https://www.theseus.fi/handle/10024/859537","https://scholar.google.com/scholar?cites=340799746112233769&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-16 00:44:33","","","",,,,,,1,0.50,1,1,2,"… The result of such analysis is often provided as a (SBOM) (29). This stage also contributes … Software Bill of Materials (SBOM): An Overview. Systems Modeling: Methodologies and Tools. …","https://www.theseus.fi/bitstream/handle/10024/859537/Siavashi_Ferdos.pdf?sequence=2","https://scholar.google.com/scholar?q=related:KSGQPpDDugQJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"J Heo","A Multi-Layered Security Assessment Framework for Kubernetes: Enhancing Cloud Security Assurance Program Criteria in Korea",2025,"INTERNATIONAL CONFERENCE ON FUTURE …","dbpia.co.kr","https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE12293111","",5,"2026-05-16 00:44:33","CITATION","","",,,,,,0,0.00,0,1,1,"… This paper is a preliminary study analyzing CSAP Kubernetes security limitations and proposing … DevSecOps-based Kubernetes security automation framework. Key directions include: …","","https://scholar.google.com/scholar?q=related:v71X9MQ8F8YJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"A Aquino","A Combined Approach to Kubernetes Security with Trivy and Falco",2025,"","theseus.fi","https://www.theseus.fi/handle/10024/891495","",6,"2026-05-16 00:44:33","","","",,,,,,0,0.00,0,1,1,"… This study demonstrated that the combination of Trivy and Falco enhances Kubernetes security by providing a more comprehensive approach, covering different stages of the …","https://www.theseus.fi/bitstream/handle/10024/891495/Aquino_Alyssa.pdf?sequence=2","https://scholar.google.com/scholar?q=related:28ear-ngEz0J:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
3,"J Girhotra, A Byrisetty","Securing cloud-native applications (CNAs): A case study of practices in a large IT company",2025,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1980200","https://scholar.google.com/scholar?cites=6463324854113100975&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-16 00:44:33","","","",,,,,,3,3.00,2,2,1,"… As we read through a document (eg, a Kubernetes security guideline or a CI/CD security checklist), we took notes and highlighted sections pertaining to CNA security. We also recorded …","https://www.diva-portal.org/smash/get/diva2:1980200/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:r2Rd7bVXslkJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"A Ganesh","Securing Infrastructure as Code deployments with Bills of Materials Approaches",2023,"","","","",8,"2026-05-16 00:44:33","CITATION","","",,,,,,0,0.00,0,1,3,"","","https://scholar.google.com/scholar?q=related:HcccKx8uhYAJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
0,"K Slimani, V Aseri, A Gupta…","Security Testing: Cyber Incident and Vulnerability, Mitigations and Forensics",2025,"Cyber Security, Forensics …","api.taylorfrancis.com","https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9781003497868-15&type=chapterpdf","",9,"2026-05-16 00:44:33","","","",,,,,,0,0.00,0,4,1,"… Automated tools like Kubernetes security scanners are now increasingly being used to search for these kinds of misconfigurations and fix them. 5. Insecure Design: It’sa new class here …","","https://scholar.google.com/scholar?q=related:kDmf2QCmPqkJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
4,"A Chen, Z Guo, Z Jin, Z Li, Y Chen","Breaking the bulkhead: Demystifying cross-namespace reference vulnerabilities in kubernetes operators",2025,"arXiv preprint arXiv:2507.03387","arxiv.org","https://arxiv.org/abs/2507.03387","https://scholar.google.com/scholar?cites=12414809459705177982&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-16 00:44:33","","","",,,,,,4,4.00,1,5,1,"… Rahman, “Xi commandments of kubernetes security: A systematization of knowledge related to kubernetes security practices,” in 2020 IEEE Secure Development (SecDev), 2020, pp. 58…","https://arxiv.org/pdf/2507.03387","https://scholar.google.com/scholar?q=related:fufiV21DSqwJ:scholar.google.com/&scioq=%22kubernetes+security%22%7C%22kubernetes+admission+control%22+%22sbom%22%7C%22cyclonedx%22%7C%22spdx%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2025"
