"Title,""Authors"",""Year"",""Source"",""Cites"",""Query"",""Stage"",""TA_Decision"",""TA_Reason"",""Q1"",""Q2"",""Q3"",""Q4"",""Q5"",""Total"",""KH_Decision"",""Abstract""";;;
"Privilege escalation attack scenarios on the devops pipeline within a kubernetes environment,""N Pecka, L Ben Othmane, A Valani"",""2022.0"",""Proceedings of the International …"",""26"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""1.0"",""0.5"",""1.0"",""0.5"",""4.0"",""INCLUDE"",""Companies are misled into thinking they solve their security issues by using tooling that is advertised as aligning with DevSecOps principles. This paper aims to answer the question: …""";;;
"SBOMproof: Beyond Alleged SBOM Compliance for Supply Chain Security of Container Images,""J Bufalino, M Di Francesco, A Blaise…"",""2025.0"",""arXiv preprint arXiv …"",""0"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""0.5"",""0.5"",""0.0"",""0.5"",""2.5"",""EXCLUDE"",""… fundamental concepts in the context of software supply chain security, with a focus on those … to study registry abuse related to different types of supply chain attacks. For this reason, their …""";;;
"Secure ML Workflows Using Kubernetes: A CKS-Certified Perspective,""K Allam"",""2023.0"",""International Journal of Emerging Research in …"",""0"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""0.5"",""0.5"",""0.0"",""0.5"",""2.5"",""EXCLUDE"",""… Supply Chain Attacks: The machine learning process extensively relies on open-source … Also, we delve into the Kubernetes security layers identifying factors such as Role-Based …""";;;
"KubeSecOps: Continuous Security Assurance in Kubernetes-Based DevSecOps Pipelines for AI Workloads,""RK Kripa"",""2025.0"",""2025 IEEE International Conference on Advances in …"",""0"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""1.0"",""0.5"",""0.0"",""0.5"",""3.0"",""EXCLUDE"",""… We review five areas: DevSecOps for ML, Kubernetes security, model integrity, container … AI models deployed in Kubernetes are susceptible to a wide range of supply chain attacks, …""";;;
"Kubefence: Security hardening of the kubernetes attack surface,""C Cesarano, R Natella"",""2025.0"",""2025 55th Annual IEEE/IFIP …"",""5"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""0.5"",""0.5"",""0.5"",""0.5"",""3.0"",""EXCLUDE"",""… machine hosting the etcd database) and supply chain attacks (eg, targeting container images … enforcement mechanism that enhances Kubernetes security by automatically generating …""";;;
"Stay at the Helm: secure Kubernetes deployments via graph generation and attack reconstruction,""A Blaise, F Rebecchi"",""2022.0"",""2022 IEEE 15th International …"",""39"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""0.5"",""0.5"",""1.0"",""0.5"",""3.5"",""INCLUDE"",""… This is possible by exploiting eg, supply-chain attacks, vulnerabilities present in K8s, or in containerisation technologies. To model this situation, a parameter 𝜔 is introduced to …""";;;
"A conceptual model for secure DevOps architecture using Jenkins, Terraform, and Kubernetes,""A Adebayo, AA Afuwape, AO Akindemowo…"",""2023.0"",""… Research and Growth …"",""19"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""0.5"",""0.5"",""0.5"",""0.5"",""3.0"",""EXCLUDE"",""In the evolving landscape of software development, the integration of security into the DevOps lifecycle—often termed DevSecOps—has become a critical imperative. This paper …""";;;
"Integrating Security in Cloud-Native Development: A DevSecOps Approach to Resilient Software Systems,""P Pandey, A Patel"",""2025.0"",""Data Governance, DevSecOps, and …"",""16"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""0.5"",""0.5"",""0.5"",""0.5"",""3.0"",""EXCLUDE"",""… has played the role of extensive supply chain attacks. The external dependencies are attacked to … Container and Kubernetes security was a relatively new domain that OWASP recently …""";;;
"AI-Enhanced DevSecOps: Automating Vulnerability Management and Security Policy Enforcement in CI/CD Pipelines,""G Ananya, W David, A Samir"",""2025.0"",""Web of Semantics: Journal of …"",""2"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""0.5"",""0.5"",""0.0"",""0.5"",""2.5"",""EXCLUDE"",""… For example, AI can generate malicious API payloads to stress-test microservices or simulate supply chain attacks in … Container and Kubernetes Security: AI-Driven Runtime Protection …""";;;
"Edge-to-Cloud DevSecOps Workflows: End-to-End Compliance Automation for Enterprise Data Engineering,""S Srivastava, N Nellutla, S Peddi…"",""2025.0"",""2025 IEEE 3rd Global …"",""0"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""1.0"",""0.5"",""0.0"",""0.5"",""3.0"",""EXCLUDE"",""… OPA Gatekeeper implements Rego-based constraints through Kubernetes admission control to allow cluster-wide compliance checks on security and compliance baselines [12], [16], […""";;;
"A conceptual framework for CI/CD pipeline security controls in hybrid application deployments,""E Obuse, AO Akindemowo, JO Ajayi, ED Erigha…"",""2024.0"",""International Journal of …"",""63"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""0.0"",""0.5"",""1.0"",""1.0"",""0.0"",""2.5"",""EXCLUDE"",""""";;;
"Next-Gen Secure Cloud-Native Platforms For Financial Institutions: A Microservices And Zero Trust-Based Resilience Model.,""S Gajula"",""2025.0"",""Journal of International Crisis &Risk …"",""6"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title: sec+cloud pair"",""1.0"",""0.5"",""0.5"",""0.5"",""0.5"",""3.0"",""EXCLUDE"",""… customer loss directly attributable to container and Kubernetes security incidents [9]. Image … code into production systems through supply chain attacks. Financial institutions implement …""";;;
"Enterprise DevSecOps: Integrating security into CI/CD pipelines for regulated industries,""AA Solanke"",""2022.0"",""World Journal of Advanced Research and Reviews"",""10"",""Q01"",""Full-text assessed"",""INCLUDE"",""Title specific term"",""1.0"",""0.5"",""0.5"",""0.5"",""0.5"",""3.0"",""EXCLUDE"",""… Attackers exploit vulnerabilities in fairly popular open-source components to carry out supply chain attacks that jeopardize entire software ecosystems. The situation is worse in …""";;;
