condition,group,iteration,client_ms,accepted
conc-001,concurrency,1,2691,true
conc-001,concurrency,10,2631,true
conc-001,concurrency,11,2679,true
conc-001,concurrency,12,2624,true
conc-001,concurrency,13,2633,true
conc-001,concurrency,14,2767,true
conc-001,concurrency,15,2593,true
conc-001,concurrency,16,2661,true
conc-001,concurrency,17,2589,true
conc-001,concurrency,18,2602,true
conc-001,concurrency,19,2651,true
conc-001,concurrency,2,2666,true
conc-001,concurrency,20,2593,true
conc-001,concurrency,21,2607,true
conc-001,concurrency,22,2709,true
conc-001,concurrency,23,2649,true
conc-001,concurrency,24,2640,true
conc-001,concurrency,25,2661,true
conc-001,concurrency,26,2656,true
conc-001,concurrency,27,2694,true
conc-001,concurrency,28,2719,true
conc-001,concurrency,29,2623,true
conc-001,concurrency,3,2588,true
conc-001,concurrency,30,2645,true
conc-001,concurrency,31,2709,true
conc-001,concurrency,32,2717,true
conc-001,concurrency,33,2668,true
conc-001,concurrency,34,2735,true
conc-001,concurrency,35,2762,true
conc-001,concurrency,36,2727,true
conc-001,concurrency,37,2657,true
conc-001,concurrency,38,2723,true
conc-001,concurrency,39,2668,true
conc-001,concurrency,4,2654,true
conc-001,concurrency,40,2687,true
conc-001,concurrency,41,2700,true
conc-001,concurrency,42,2645,true
conc-001,concurrency,43,2704,true
conc-001,concurrency,44,2768,true
conc-001,concurrency,45,2697,true
conc-001,concurrency,46,2621,true
conc-001,concurrency,47,2659,true
conc-001,concurrency,48,2667,true
conc-001,concurrency,49,2658,true
conc-001,concurrency,5,2677,true
conc-001,concurrency,50,2646,true
conc-001,concurrency,6,2632,true
conc-001,concurrency,7,2657,true
conc-001,concurrency,8,2666,true
conc-001,concurrency,9,2650,true
conc-005,concurrency,1,3809,true
conc-005,concurrency,2,3960,true
conc-005,concurrency,3,4007,true
conc-005,concurrency,4,4051,true
conc-005,concurrency,5,3659,true
conc-005,concurrency,46,3790,true
conc-005,concurrency,47,4045,true
conc-005,concurrency,48,4015,true
conc-005,concurrency,49,4169,true
conc-005,concurrency,50,3958,true
conc-005,concurrency,6,4040,true
conc-005,concurrency,7,3914,true
conc-005,concurrency,8,3715,true
conc-005,concurrency,9,3989,true
conc-005,concurrency,10,4044,true
conc-005,concurrency,11,4279,true
conc-005,concurrency,12,3925,true
conc-005,concurrency,13,4071,true
conc-005,concurrency,14,4051,true
conc-005,concurrency,15,3947,true
conc-005,concurrency,16,3833,true
conc-005,concurrency,17,4084,true
conc-005,concurrency,18,3541,true
conc-005,concurrency,19,3937,true
conc-005,concurrency,20,3913,true
conc-005,concurrency,21,3828,true
conc-005,concurrency,22,3960,true
conc-005,concurrency,23,3998,true
conc-005,concurrency,24,4149,true
conc-005,concurrency,25,4167,true
conc-005,concurrency,26,3991,true
conc-005,concurrency,27,4077,true
conc-005,concurrency,28,3904,true
conc-005,concurrency,29,3624,true
conc-005,concurrency,30,4059,true
conc-005,concurrency,31,4054,true
conc-005,concurrency,32,5353,true
conc-005,concurrency,33,3710,true
conc-005,concurrency,34,3981,true
conc-005,concurrency,35,4110,true
conc-005,concurrency,36,4029,true
