condition,group,iteration,client_ms,accepted
conc-001,concurrency,1,3084,true
conc-001,concurrency,10,3249,true
conc-001,concurrency,11,3065,true
conc-001,concurrency,12,3080,true
conc-001,concurrency,13,3061,true
conc-001,concurrency,14,3139,true
conc-001,concurrency,15,3059,true
conc-001,concurrency,16,3137,true
conc-001,concurrency,17,3024,true
conc-001,concurrency,18,3047,true
conc-001,concurrency,19,3112,true
conc-001,concurrency,2,3116,true
conc-001,concurrency,20,3083,true
conc-001,concurrency,21,3142,true
conc-001,concurrency,22,3062,true
conc-001,concurrency,23,3072,true
conc-001,concurrency,24,3118,true
conc-001,concurrency,25,3045,true
conc-001,concurrency,26,3088,true
conc-001,concurrency,27,3061,true
conc-001,concurrency,28,3020,true
conc-001,concurrency,29,3117,true
conc-001,concurrency,3,3083,true
conc-001,concurrency,30,3068,true
conc-001,concurrency,31,3192,true
conc-001,concurrency,32,3032,true
conc-001,concurrency,33,3185,true
conc-001,concurrency,34,3159,true
conc-001,concurrency,35,3123,true
conc-001,concurrency,36,3131,true
conc-001,concurrency,37,3121,true
conc-001,concurrency,38,3147,true
conc-001,concurrency,39,3077,true
conc-001,concurrency,4,3097,true
conc-001,concurrency,40,3068,true
conc-001,concurrency,41,3087,true
conc-001,concurrency,42,3160,true
conc-001,concurrency,43,3090,true
conc-001,concurrency,44,3106,true
conc-001,concurrency,45,3115,true
conc-001,concurrency,46,3127,true
conc-001,concurrency,47,3102,true
conc-001,concurrency,48,3118,true
conc-001,concurrency,49,3051,true
conc-001,concurrency,5,3076,true
conc-001,concurrency,50,3203,true
conc-001,concurrency,6,3044,true
conc-001,concurrency,7,3151,true
conc-001,concurrency,8,3176,true
conc-001,concurrency,9,3205,true
conc-005,concurrency,1,4569,true
conc-005,concurrency,2,4980,true
conc-005,concurrency,3,4940,true
conc-005,concurrency,4,4700,true
conc-005,concurrency,5,4504,true
conc-005,concurrency,46,4508,true
conc-005,concurrency,47,4197,true
conc-005,concurrency,48,4413,true
conc-005,concurrency,49,4264,true
conc-005,concurrency,50,4271,true
conc-005,concurrency,6,4527,true
conc-005,concurrency,7,4482,true
conc-005,concurrency,8,4547,true
conc-005,concurrency,9,3972,true
conc-005,concurrency,10,4015,true
conc-005,concurrency,11,4645,true
conc-005,concurrency,12,4389,true
conc-005,concurrency,13,4554,true
conc-005,concurrency,14,4466,true
conc-005,concurrency,15,4458,true
conc-005,concurrency,16,4375,true
conc-005,concurrency,17,4444,true
conc-005,concurrency,18,4450,true
conc-005,concurrency,19,4291,true
conc-005,concurrency,20,4506,true
conc-005,concurrency,21,4625,true
conc-005,concurrency,22,4442,true
conc-005,concurrency,23,4357,true
conc-005,concurrency,24,3980,true
conc-005,concurrency,25,4281,true
conc-005,concurrency,26,4632,true
conc-005,concurrency,27,4205,true
conc-005,concurrency,28,4456,true
conc-005,concurrency,29,4510,true
conc-005,concurrency,30,4482,true
conc-005,concurrency,31,4181,true
conc-005,concurrency,32,4380,true
conc-005,concurrency,33,4521,true
conc-005,concurrency,34,4518,true
conc-005,concurrency,35,4459,true
conc-005,concurrency,36,4159,true
conc-005,concurrency,37,4214,true
conc-005,concurrency,38,4542,true
conc-005,concurrency,39,4494,true
conc-005,concurrency,40,4656,true
conc-005,concurrency,41,4321,true
conc-005,concurrency,42,4469,true
conc-005,concurrency,43,4416,true
conc-005,concurrency,44,4513,true
conc-005,concurrency,45,4380,true
conc-010,concurrency,1,7251,true
conc-010,concurrency,10,7505,true
conc-010,concurrency,2,7344,true
conc-010,concurrency,3,6675,true
conc-010,concurrency,4,7423,true
conc-010,concurrency,5,7136,true
conc-010,concurrency,6,7591,true
conc-010,concurrency,7,6361,true
conc-010,concurrency,8,7382,true
conc-010,concurrency,9,7450,true
conc-010,concurrency,11,6962,true
conc-010,concurrency,20,7270,true
conc-010,concurrency,12,7266,true
conc-010,concurrency,13,7409,true
conc-010,concurrency,14,7503,true
conc-010,concurrency,15,7227,true
conc-010,concurrency,16,7602,true
conc-010,concurrency,17,7342,true
conc-010,concurrency,18,6321,true
conc-010,concurrency,19,7575,true
conc-010,concurrency,21,6882,true
conc-010,concurrency,30,7708,true
conc-010,concurrency,22,7606,true
conc-010,concurrency,23,7344,true
conc-010,concurrency,24,7568,true
conc-010,concurrency,25,7141,true
conc-010,concurrency,26,7368,true
conc-010,concurrency,27,7784,true
conc-010,concurrency,28,7778,true
conc-010,concurrency,29,7218,true
conc-010,concurrency,31,5846,true
conc-010,concurrency,40,7375,true
conc-010,concurrency,32,7423,true
conc-010,concurrency,33,6535,true
conc-010,concurrency,34,6804,true
conc-010,concurrency,35,7530,true
conc-010,concurrency,36,7059,true
conc-010,concurrency,37,7350,true
conc-010,concurrency,38,7567,true
conc-010,concurrency,39,7317,true
conc-010,concurrency,41,7189,true
conc-010,concurrency,50,7227,true
conc-010,concurrency,42,7650,true
conc-010,concurrency,43,7443,true
conc-010,concurrency,44,6823,true
conc-010,concurrency,45,7527,true
conc-010,concurrency,46,7394,true
conc-010,concurrency,47,7563,true
conc-010,concurrency,48,7126,true
conc-010,concurrency,49,7814,true
conc-025,concurrency,1,19663,true
conc-025,concurrency,10,18758,true
conc-025,concurrency,11,18869,true
conc-025,concurrency,12,20229,true
conc-025,concurrency,13,19743,true
conc-025,concurrency,14,20314,true
conc-025,concurrency,15,19196,true
conc-025,concurrency,16,19235,true
conc-025,concurrency,17,17640,true
conc-025,concurrency,18,18864,true
conc-025,concurrency,19,18911,true
conc-025,concurrency,2,19766,true
conc-025,concurrency,20,20306,true
conc-025,concurrency,21,18598,true
conc-025,concurrency,22,20425,true
conc-025,concurrency,23,18459,true
conc-025,concurrency,24,18701,true
conc-025,concurrency,25,20516,true
conc-025,concurrency,3,20162,true
conc-025,concurrency,4,18432,true
conc-025,concurrency,5,18569,true
conc-025,concurrency,6,19355,true
conc-025,concurrency,7,18654,true
conc-025,concurrency,8,18790,true
conc-025,concurrency,9,18043,true
conc-025,concurrency,26,20723,true
conc-025,concurrency,35,18402,true
conc-025,concurrency,36,19805,true
conc-025,concurrency,37,14962,true
conc-025,concurrency,38,18092,true
conc-025,concurrency,39,15072,true
conc-025,concurrency,40,20906,true
conc-025,concurrency,41,20083,true
conc-025,concurrency,42,18098,true
conc-025,concurrency,43,20273,true
conc-025,concurrency,44,19751,true
conc-025,concurrency,27,18414,true
conc-025,concurrency,45,19523,true
conc-025,concurrency,46,17788,true
conc-025,concurrency,47,17940,true
conc-025,concurrency,48,20254,true
conc-025,concurrency,49,20340,true
conc-025,concurrency,50,20877,true
conc-025,concurrency,28,19236,true
conc-025,concurrency,29,18398,true
conc-025,concurrency,30,20636,true
conc-025,concurrency,31,20944,true
conc-025,concurrency,32,20790,true
conc-025,concurrency,33,19374,true
conc-025,concurrency,34,21090,true
conc-050,concurrency,1,37266,true
conc-050,concurrency,10,41724,false
conc-050,concurrency,11,41052,false
conc-050,concurrency,12,41411,false
conc-050,concurrency,13,33824,true
conc-050,concurrency,14,41305,true
conc-050,concurrency,15,39997,true
conc-050,concurrency,16,41028,true
conc-050,concurrency,17,41865,false
conc-050,concurrency,18,41873,false
conc-050,concurrency,19,41752,true
conc-050,concurrency,2,41120,false
conc-050,concurrency,20,36457,true
conc-050,concurrency,21,41437,false
conc-050,concurrency,22,41482,false
conc-050,concurrency,23,37158,true
conc-050,concurrency,24,41950,false
conc-050,concurrency,25,41469,true
conc-050,concurrency,26,41287,false
conc-050,concurrency,27,36521,true
conc-050,concurrency,28,40715,false
conc-050,concurrency,29,37097,true
conc-050,concurrency,3,37458,true
conc-050,concurrency,30,41121,false
conc-050,concurrency,31,34483,true
conc-050,concurrency,32,41660,true
conc-050,concurrency,33,37142,true
conc-050,concurrency,34,40460,true
conc-050,concurrency,35,40405,true
conc-050,concurrency,36,40680,false
conc-050,concurrency,37,40672,true
conc-050,concurrency,38,38850,true
conc-050,concurrency,39,41840,false
conc-050,concurrency,4,37906,true
conc-050,concurrency,40,41801,false
conc-050,concurrency,41,36713,true
conc-050,concurrency,42,37267,true
conc-050,concurrency,43,41247,true
conc-050,concurrency,44,36490,true
conc-050,concurrency,45,41544,false
conc-050,concurrency,46,40966,false
conc-050,concurrency,47,37017,true
conc-050,concurrency,48,41194,true
conc-050,concurrency,49,41849,false
conc-050,concurrency,5,41976,false
conc-050,concurrency,50,39389,true
conc-050,concurrency,6,37469,true
conc-050,concurrency,7,37282,true
conc-050,concurrency,8,42006,false
conc-050,concurrency,9,35549,true
