condition,group,iteration,client_ms,accepted
conc-001,concurrency,1,2532,true
conc-001,concurrency,10,2552,true
conc-001,concurrency,11,2647,true
conc-001,concurrency,12,2565,true
conc-001,concurrency,13,2609,true
conc-001,concurrency,14,2568,true
conc-001,concurrency,15,2572,true
conc-001,concurrency,16,2561,true
conc-001,concurrency,17,2615,true
conc-001,concurrency,18,2640,true
conc-001,concurrency,19,2644,true
conc-001,concurrency,2,2513,true
conc-001,concurrency,20,2588,true
conc-001,concurrency,21,2581,true
conc-001,concurrency,22,2531,true
conc-001,concurrency,23,2449,true
conc-001,concurrency,24,2553,true
conc-001,concurrency,25,2481,true
conc-001,concurrency,26,2496,true
conc-001,concurrency,27,2478,true
conc-001,concurrency,28,2570,true
conc-001,concurrency,29,2535,true
conc-001,concurrency,3,2536,true
conc-001,concurrency,30,2467,true
conc-001,concurrency,31,2529,true
conc-001,concurrency,32,2454,true
conc-001,concurrency,33,2440,true
conc-001,concurrency,34,2468,true
conc-001,concurrency,35,2541,true
conc-001,concurrency,36,2515,true
conc-001,concurrency,37,2421,true
conc-001,concurrency,38,2701,true
conc-001,concurrency,39,2492,true
conc-001,concurrency,4,2524,true
conc-001,concurrency,40,2629,true
conc-001,concurrency,41,2567,true
conc-001,concurrency,42,2524,true
conc-001,concurrency,43,2554,true
conc-001,concurrency,44,2491,true
conc-001,concurrency,45,2585,true
conc-001,concurrency,46,2530,true
conc-001,concurrency,47,2466,true
conc-001,concurrency,48,2633,true
conc-001,concurrency,49,2526,true
conc-001,concurrency,5,2525,true
conc-001,concurrency,50,2704,true
conc-001,concurrency,6,2572,true
conc-001,concurrency,7,2617,true
conc-001,concurrency,8,2634,true
conc-001,concurrency,9,2545,true
conc-005,concurrency,1,3884,true
conc-005,concurrency,2,3842,true
conc-005,concurrency,3,3904,true
conc-005,concurrency,4,3991,true
conc-005,concurrency,5,3984,true
conc-005,concurrency,46,3943,true
conc-005,concurrency,47,3831,true
conc-005,concurrency,48,3964,true
conc-005,concurrency,49,3946,true
conc-005,concurrency,50,3692,true
conc-005,concurrency,6,3982,true
conc-005,concurrency,7,4135,true
conc-005,concurrency,8,3848,true
conc-005,concurrency,9,3979,true
conc-005,concurrency,10,3971,true
conc-005,concurrency,11,3856,true
conc-005,concurrency,12,3754,true
conc-005,concurrency,13,3610,true
conc-005,concurrency,14,3985,true
conc-005,concurrency,15,3822,true
conc-005,concurrency,16,3586,true
conc-005,concurrency,17,3841,true
conc-005,concurrency,18,3784,true
conc-005,concurrency,19,3839,true
conc-005,concurrency,20,3576,true
conc-005,concurrency,21,3943,true
conc-005,concurrency,22,3994,true
conc-005,concurrency,23,4025,true
conc-005,concurrency,24,3821,true
conc-005,concurrency,25,3990,true
conc-005,concurrency,26,3680,true
conc-005,concurrency,27,3959,true
conc-005,concurrency,28,3692,true
conc-005,concurrency,29,3794,true
conc-005,concurrency,30,3978,true
conc-005,concurrency,31,3636,true
conc-005,concurrency,32,4024,true
conc-005,concurrency,33,3921,true
conc-005,concurrency,34,3939,true
conc-005,concurrency,35,3820,true
conc-005,concurrency,36,3861,true
conc-005,concurrency,37,3870,true
conc-005,concurrency,38,3462,true
conc-005,concurrency,39,4031,true
conc-005,concurrency,40,3751,true
conc-005,concurrency,41,4014,true
conc-005,concurrency,42,4183,true
conc-005,concurrency,43,3873,true
conc-005,concurrency,44,4063,true
conc-005,concurrency,45,3950,true
conc-010,concurrency,1,6557,true
conc-010,concurrency,10,6380,true
conc-010,concurrency,2,5194,true
conc-010,concurrency,3,5929,true
conc-010,concurrency,4,6154,true
conc-010,concurrency,5,6580,true
conc-010,concurrency,6,6451,true
conc-010,concurrency,7,8043,true
conc-010,concurrency,8,5609,true
conc-010,concurrency,9,6560,true
conc-010,concurrency,11,6568,true
conc-010,concurrency,20,6728,true
conc-010,concurrency,12,6696,true
conc-010,concurrency,13,6816,true
conc-010,concurrency,14,6694,true
conc-010,concurrency,15,6591,true
conc-010,concurrency,16,6523,true
conc-010,concurrency,17,5789,true
conc-010,concurrency,18,6017,true
conc-010,concurrency,19,6524,true
conc-010,concurrency,21,6869,true
conc-010,concurrency,30,6916,true
conc-010,concurrency,22,6297,true
conc-010,concurrency,23,6455,true
conc-010,concurrency,24,5869,true
conc-010,concurrency,25,5939,true
conc-010,concurrency,26,6696,true
conc-010,concurrency,27,6625,true
conc-010,concurrency,28,6911,true
conc-010,concurrency,29,6559,true
conc-010,concurrency,31,6977,true
conc-010,concurrency,40,6684,true
conc-010,concurrency,32,6928,true
conc-010,concurrency,33,6700,true
conc-010,concurrency,34,6522,true
conc-010,concurrency,35,6941,true
conc-010,concurrency,36,6882,true
conc-010,concurrency,37,5473,true
conc-010,concurrency,38,5925,true
conc-010,concurrency,39,5669,true
conc-010,concurrency,41,6800,true
conc-010,concurrency,50,6921,true
conc-010,concurrency,42,6699,true
conc-010,concurrency,43,6650,true
conc-010,concurrency,44,5434,true
conc-010,concurrency,45,5877,true
conc-010,concurrency,46,6825,true
conc-010,concurrency,47,6882,true
conc-010,concurrency,48,6884,true
conc-010,concurrency,49,6657,true
conc-025,concurrency,1,16731,true
conc-025,concurrency,10,16964,true
conc-025,concurrency,11,17079,true
conc-025,concurrency,12,15825,true
conc-025,concurrency,13,16890,true
conc-025,concurrency,14,17024,true
conc-025,concurrency,15,16696,true
conc-025,concurrency,16,16000,true
conc-025,concurrency,17,16466,true
conc-025,concurrency,18,16301,true
conc-025,concurrency,19,16970,true
conc-025,concurrency,2,14268,true
conc-025,concurrency,20,16893,true
conc-025,concurrency,21,15365,true
conc-025,concurrency,22,16309,true
conc-025,concurrency,23,16435,true
conc-025,concurrency,24,16775,true
conc-025,concurrency,25,17046,true
conc-025,concurrency,3,16541,true
conc-025,concurrency,4,17040,true
conc-025,concurrency,5,16938,true
conc-025,concurrency,6,17002,true
conc-025,concurrency,7,16424,true
conc-025,concurrency,8,17092,true
conc-025,concurrency,9,16587,true
conc-025,concurrency,26,17045,true
conc-025,concurrency,35,16973,true
conc-025,concurrency,36,16493,true
conc-025,concurrency,37,15951,true
conc-025,concurrency,38,16239,true
conc-025,concurrency,39,17013,true
conc-025,concurrency,40,16121,true
conc-025,concurrency,41,16144,true
conc-025,concurrency,42,16448,true
conc-025,concurrency,43,16969,true
conc-025,concurrency,44,16721,true
conc-025,concurrency,27,16345,true
conc-025,concurrency,45,17057,true
conc-025,concurrency,46,16836,true
conc-025,concurrency,47,17046,true
conc-025,concurrency,48,16633,true
conc-025,concurrency,49,16932,true
conc-025,concurrency,50,16785,true
