condition,group,iteration,client_ms,accepted
conc-001,concurrency,1,2462,true
conc-001,concurrency,10,2480,true
conc-001,concurrency,11,2427,true
conc-001,concurrency,12,2486,true
conc-001,concurrency,13,2376,true
conc-001,concurrency,14,2564,true
conc-001,concurrency,15,2429,true
conc-001,concurrency,16,2415,true
conc-001,concurrency,17,2429,true
conc-001,concurrency,18,2517,true
conc-001,concurrency,19,2449,true
conc-001,concurrency,2,2421,true
conc-001,concurrency,20,2426,true
conc-001,concurrency,21,2487,true
conc-001,concurrency,22,2503,true
conc-001,concurrency,23,2395,true
conc-001,concurrency,24,2452,true
conc-001,concurrency,25,2397,true
conc-001,concurrency,26,2474,true
conc-001,concurrency,27,2396,true
conc-001,concurrency,28,2408,true
conc-001,concurrency,29,2451,true
conc-001,concurrency,3,2490,true
conc-001,concurrency,30,2520,true
conc-001,concurrency,31,2430,true
conc-001,concurrency,32,2582,true
conc-001,concurrency,33,2413,true
conc-001,concurrency,34,2428,true
conc-001,concurrency,35,2401,true
conc-001,concurrency,36,2412,true
conc-001,concurrency,37,2391,true
conc-001,concurrency,38,2458,true
conc-001,concurrency,39,2530,true
conc-001,concurrency,4,2524,true
conc-001,concurrency,40,2388,true
conc-001,concurrency,41,2467,true
conc-001,concurrency,42,2417,true
conc-001,concurrency,43,2436,true
conc-001,concurrency,44,2470,true
conc-001,concurrency,45,2409,true
conc-001,concurrency,46,2506,true
conc-001,concurrency,47,2521,true
conc-001,concurrency,48,2394,true
conc-001,concurrency,49,2461,true
conc-001,concurrency,5,2570,true
conc-001,concurrency,50,2343,true
conc-001,concurrency,6,2475,true
conc-001,concurrency,7,2440,true
conc-001,concurrency,8,2387,true
conc-001,concurrency,9,2505,true
conc-005,concurrency,1,2748,true
conc-005,concurrency,2,2503,true
conc-005,concurrency,3,2644,true
conc-005,concurrency,4,3015,true
conc-005,concurrency,5,2673,true
conc-005,concurrency,46,2314,true
conc-005,concurrency,47,2298,true
conc-005,concurrency,48,2341,true
conc-005,concurrency,49,2182,true
conc-005,concurrency,50,2370,true
conc-005,concurrency,6,2418,true
conc-005,concurrency,7,2380,true
conc-005,concurrency,8,2184,true
conc-005,concurrency,9,2545,true
conc-005,concurrency,10,2572,true
conc-005,concurrency,11,2505,true
conc-005,concurrency,12,2613,true
conc-005,concurrency,13,2498,true
conc-005,concurrency,14,2444,true
conc-005,concurrency,15,2557,true
conc-005,concurrency,16,2090,true
conc-005,concurrency,17,2141,true
conc-005,concurrency,18,2216,true
conc-005,concurrency,19,2366,true
conc-005,concurrency,20,2226,true
conc-005,concurrency,21,2445,true
conc-005,concurrency,22,2455,true
conc-005,concurrency,23,2310,true
conc-005,concurrency,24,2499,true
conc-005,concurrency,25,2242,true
conc-005,concurrency,26,2381,true
conc-005,concurrency,27,2195,true
conc-005,concurrency,28,2412,true
conc-005,concurrency,29,2270,true
conc-005,concurrency,30,2354,true
conc-005,concurrency,31,2350,true
conc-005,concurrency,32,2342,true
conc-005,concurrency,33,2375,true
