condition,group,iteration,client_ms,accepted
conc-001,concurrency,1,812,true
conc-001,concurrency,10,798,true
conc-001,concurrency,11,793,true
conc-001,concurrency,12,701,true
conc-001,concurrency,13,841,true
conc-001,concurrency,14,802,true
conc-001,concurrency,15,803,true
conc-001,concurrency,16,816,true
conc-001,concurrency,17,703,true
conc-001,concurrency,18,803,true
conc-001,concurrency,19,802,true
conc-001,concurrency,2,810,true
conc-001,concurrency,20,790,true
conc-001,concurrency,21,805,true
conc-001,concurrency,22,711,true
conc-001,concurrency,23,792,true
conc-001,concurrency,24,809,true
conc-001,concurrency,25,814,true
conc-001,concurrency,26,805,true
conc-001,concurrency,27,705,true
conc-001,concurrency,28,806,true
conc-001,concurrency,29,860,true
conc-001,concurrency,3,726,true
conc-001,concurrency,30,805,true
conc-001,concurrency,31,796,true
conc-001,concurrency,32,716,true
conc-001,concurrency,33,797,true
conc-001,concurrency,34,803,true
conc-001,concurrency,35,809,true
conc-001,concurrency,36,798,true
conc-001,concurrency,37,711,true
conc-001,concurrency,38,803,true
conc-001,concurrency,39,817,true
conc-001,concurrency,4,795,true
conc-001,concurrency,40,805,true
conc-001,concurrency,41,706,true
conc-001,concurrency,42,811,true
conc-001,concurrency,43,816,true
conc-001,concurrency,44,798,true
conc-001,concurrency,45,792,true
conc-001,concurrency,46,710,true
conc-001,concurrency,47,789,true
conc-001,concurrency,48,802,true
conc-001,concurrency,49,800,true
conc-001,concurrency,5,803,true
conc-001,concurrency,50,791,true
conc-001,concurrency,6,815,true
conc-001,concurrency,7,862,true
conc-001,concurrency,8,702,true
conc-001,concurrency,9,793,true
conc-005,concurrency,1,1053,true
conc-005,concurrency,2,1047,true
conc-005,concurrency,3,1079,true
conc-005,concurrency,4,1040,true
conc-005,concurrency,5,1043,true
conc-005,concurrency,46,1066,true
conc-005,concurrency,47,1076,true
conc-005,concurrency,48,1077,true
conc-005,concurrency,49,1051,true
conc-005,concurrency,50,1069,true
conc-005,concurrency,6,1080,true
conc-005,concurrency,7,1082,true
conc-005,concurrency,8,994,true
conc-005,concurrency,9,1078,true
conc-005,concurrency,10,962,true
conc-005,concurrency,11,1056,true
conc-005,concurrency,12,972,true
conc-005,concurrency,13,1034,true
conc-005,concurrency,14,1085,true
conc-005,concurrency,15,1034,true
conc-005,concurrency,16,1059,true
conc-005,concurrency,17,1062,true
conc-005,concurrency,18,1007,true
conc-005,concurrency,19,1020,true
conc-005,concurrency,20,1008,true
conc-005,concurrency,21,1057,true
conc-005,concurrency,22,1061,true
conc-005,concurrency,23,1065,true
conc-005,concurrency,24,1035,true
conc-005,concurrency,25,1071,true
conc-005,concurrency,26,1082,true
conc-005,concurrency,27,980,true
conc-005,concurrency,28,1048,true
conc-005,concurrency,29,1056,true
conc-005,concurrency,30,1044,true
conc-005,concurrency,31,959,true
conc-005,concurrency,32,1017,true
conc-005,concurrency,33,1037,true
conc-005,concurrency,34,1034,true
conc-005,concurrency,35,1074,true
conc-005,concurrency,36,1032,true
conc-005,concurrency,37,983,true
conc-005,concurrency,38,1045,true
conc-005,concurrency,39,1076,true
conc-005,concurrency,40,1041,true
conc-005,concurrency,41,1035,true
conc-005,concurrency,42,1051,true
conc-005,concurrency,43,1051,true
conc-005,concurrency,44,1040,true
conc-005,concurrency,45,1088,true
conc-010,concurrency,1,1453,true
conc-010,concurrency,10,1381,true
conc-010,concurrency,2,1378,true
conc-010,concurrency,3,1475,true
conc-010,concurrency,4,1147,true
conc-010,concurrency,5,1311,true
conc-010,concurrency,6,1330,true
conc-010,concurrency,7,1446,true
conc-010,concurrency,8,1408,true
conc-010,concurrency,9,1239,true
conc-010,concurrency,11,1446,true
conc-010,concurrency,20,1410,true
conc-010,concurrency,12,1295,true
conc-010,concurrency,13,1286,true
conc-010,concurrency,14,1405,true
conc-010,concurrency,15,1111,true
conc-010,concurrency,16,1239,true
conc-010,concurrency,17,1388,true
conc-010,concurrency,18,1429,true
conc-010,concurrency,19,1406,true
conc-010,concurrency,21,1425,true
conc-010,concurrency,30,1403,true
conc-010,concurrency,22,1384,true
conc-010,concurrency,23,1315,true
conc-010,concurrency,24,1377,true
conc-010,concurrency,25,1468,true
conc-010,concurrency,26,1209,true
conc-010,concurrency,27,1436,true
conc-010,concurrency,28,1470,true
conc-010,concurrency,29,1366,true
conc-010,concurrency,31,1313,true
conc-010,concurrency,40,1421,true
conc-010,concurrency,32,1463,true
conc-010,concurrency,33,1386,true
conc-010,concurrency,34,1480,true
conc-010,concurrency,35,1476,true
conc-010,concurrency,36,1427,true
conc-010,concurrency,37,1487,true
conc-010,concurrency,38,1499,true
conc-010,concurrency,39,1386,true
conc-010,concurrency,41,1503,true
conc-010,concurrency,50,1476,true
conc-010,concurrency,42,1396,true
conc-010,concurrency,43,1501,true
conc-010,concurrency,44,1469,true
conc-010,concurrency,45,1385,true
conc-010,concurrency,46,1333,true
conc-010,concurrency,47,1438,true
conc-010,concurrency,48,1432,true
conc-010,concurrency,49,1478,true
conc-025,concurrency,1,2581,true
conc-025,concurrency,10,2585,true
conc-025,concurrency,11,2669,true
conc-025,concurrency,12,2781,true
conc-025,concurrency,13,2745,true
conc-025,concurrency,14,2549,true
conc-025,concurrency,15,2589,true
conc-025,concurrency,16,2732,true
conc-025,concurrency,17,2761,true
conc-025,concurrency,18,2383,true
conc-025,concurrency,19,2614,true
conc-025,concurrency,2,2716,true
conc-025,concurrency,20,2651,true
conc-025,concurrency,21,2767,true
conc-025,concurrency,22,2322,true
conc-025,concurrency,23,2326,true
conc-025,concurrency,24,2719,true
conc-025,concurrency,25,2768,true
conc-025,concurrency,3,2734,true
conc-025,concurrency,4,2782,true
conc-025,concurrency,5,2664,true
conc-025,concurrency,6,2555,true
conc-025,concurrency,7,2633,true
conc-025,concurrency,8,2120,true
conc-025,concurrency,9,2052,true
conc-025,concurrency,26,2561,true
conc-025,concurrency,35,2679,true
conc-025,concurrency,36,2739,true
conc-025,concurrency,37,2771,true
conc-025,concurrency,38,1962,true
conc-025,concurrency,39,2725,true
conc-025,concurrency,40,2764,true
conc-025,concurrency,41,2832,true
conc-025,concurrency,42,2834,true
conc-025,concurrency,43,2664,true
conc-025,concurrency,44,2741,true
conc-025,concurrency,27,2726,true
conc-025,concurrency,45,2863,true
conc-025,concurrency,46,2597,true
conc-025,concurrency,47,2696,true
conc-025,concurrency,48,2835,true
conc-025,concurrency,49,2880,true
conc-025,concurrency,50,2107,true
conc-025,concurrency,28,2868,true
conc-025,concurrency,29,2784,true
conc-025,concurrency,30,2807,true
conc-025,concurrency,31,2625,true
conc-025,concurrency,32,2761,true
conc-025,concurrency,33,2861,true
conc-025,concurrency,34,2777,true
conc-050,concurrency,1,5011,true
conc-050,concurrency,10,4885,true
conc-050,concurrency,11,5159,true
conc-050,concurrency,12,4874,true
conc-050,concurrency,13,5170,true
conc-050,concurrency,14,5178,true
conc-050,concurrency,15,4671,true
conc-050,concurrency,16,4983,true
conc-050,concurrency,17,5349,true
conc-050,concurrency,18,5063,true
conc-050,concurrency,19,5231,true
conc-050,concurrency,2,5021,true
conc-050,concurrency,20,5328,true
conc-050,concurrency,21,5033,true
conc-050,concurrency,22,4668,true
conc-050,concurrency,23,4764,true
conc-050,concurrency,24,5118,true
conc-050,concurrency,25,5123,true
conc-050,concurrency,26,5043,true
conc-050,concurrency,27,5217,true
conc-050,concurrency,28,5122,true
conc-050,concurrency,29,5269,true
conc-050,concurrency,3,5006,true
conc-050,concurrency,30,4958,true
conc-050,concurrency,31,5012,true
conc-050,concurrency,32,4362,true
conc-050,concurrency,33,5296,true
conc-050,concurrency,34,5019,true
conc-050,concurrency,35,5266,true
conc-050,concurrency,36,4856,true
conc-050,concurrency,37,4489,true
conc-050,concurrency,38,4806,true
conc-050,concurrency,39,4733,true
conc-050,concurrency,4,5271,true
conc-050,concurrency,40,5128,true
conc-050,concurrency,41,5156,true
conc-050,concurrency,42,4894,true
conc-050,concurrency,43,5148,true
conc-050,concurrency,44,4768,true
conc-050,concurrency,45,4903,true
conc-050,concurrency,46,4750,true
conc-050,concurrency,47,4824,true
conc-050,concurrency,48,4804,true
conc-050,concurrency,49,5201,true
conc-050,concurrency,5,4544,true
conc-050,concurrency,50,5004,true
conc-050,concurrency,6,5269,true
conc-050,concurrency,7,5047,true
conc-050,concurrency,8,2711,true
conc-050,concurrency,9,5347,true
