condition,group,iteration,client_ms,accepted
baseline,baseline,1,2308,true
baseline,baseline,2,2175,true
baseline,baseline,3,2475,true
baseline,baseline,4,2148,true
baseline,baseline,5,2240,true
baseline,baseline,6,2215,true
baseline,baseline,7,2344,true
baseline,baseline,8,2220,true
baseline,baseline,9,2119,true
baseline,baseline,10,2113,true
baseline,baseline,11,2138,true
baseline,baseline,12,2153,true
baseline,baseline,13,2166,true
baseline,baseline,14,2266,true
baseline,baseline,15,2169,true
baseline,baseline,16,2177,true
baseline,baseline,17,2173,true
baseline,baseline,18,2227,true
baseline,baseline,19,2279,true
baseline,baseline,20,2198,true
baseline,baseline,21,2145,true
baseline,baseline,22,2291,true
baseline,baseline,23,2124,true
baseline,baseline,24,2140,true
baseline,baseline,25,2128,true
baseline,baseline,26,2195,true
baseline,baseline,27,2225,true
baseline,baseline,28,2212,true
baseline,baseline,29,2170,true
baseline,baseline,30,2132,true
enforce,enforce,1,2266,true
enforce,enforce,2,2308,true
enforce,enforce,3,2203,true
enforce,enforce,4,2230,true
enforce,enforce,5,2224,true
enforce,enforce,6,2144,true
enforce,enforce,7,2298,true
enforce,enforce,8,2148,true
enforce,enforce,9,2191,true
enforce,enforce,10,2272,true
enforce,enforce,11,2186,true
enforce,enforce,12,2256,true
enforce,enforce,13,2170,true
enforce,enforce,14,2204,true
enforce,enforce,15,2190,true
enforce,enforce,16,2201,true
enforce,enforce,17,2213,true
enforce,enforce,18,2217,true
enforce,enforce,19,2254,true
enforce,enforce,20,2284,true
enforce,enforce,21,2199,true
enforce,enforce,22,2175,true
enforce,enforce,23,2204,true
enforce,enforce,24,2170,true
enforce,enforce,25,2152,true
enforce,enforce,26,2188,true
enforce,enforce,27,2231,true
enforce,enforce,28,2192,true
enforce,enforce,29,2276,true
enforce,enforce,30,2228,true
audit,audit,1,2185,true
audit,audit,2,2321,true
audit,audit,3,2453,true
audit,audit,4,2183,true
audit,audit,5,2183,true
audit,audit,6,2195,true
audit,audit,7,2133,true
audit,audit,8,2221,true
audit,audit,9,2202,true
audit,audit,10,2148,true
audit,audit,11,2200,true
audit,audit,12,2195,true
audit,audit,13,2190,true
audit,audit,14,2174,true
audit,audit,15,2152,true
audit,audit,16,2168,true
audit,audit,17,2121,true
audit,audit,18,2169,true
audit,audit,19,2180,true
audit,audit,20,2185,true
audit,audit,21,2249,true
audit,audit,22,2193,true
audit,audit,23,2170,true
audit,audit,24,2314,true
audit,audit,25,2228,true
audit,audit,26,2193,true
audit,audit,27,2134,true
audit,audit,28,2247,true
audit,audit,29,2204,true
audit,audit,30,2123,true
