condition,group,iteration,client_ms,accepted
size-xlarge,size,1,2678,true
size-xlarge,size,2,2523,true
size-xlarge,size,3,2629,true
size-xlarge,size,4,2642,true
size-xlarge,size,5,2635,true
size-xlarge,size,6,2533,true
size-xlarge,size,7,2535,true
size-xlarge,size,8,2566,true
size-xlarge,size,9,2535,true
size-xlarge,size,10,2555,true
size-xlarge,size,11,2565,true
size-xlarge,size,12,2557,true
size-xlarge,size,13,2599,true
size-xlarge,size,14,2640,true
size-xlarge,size,15,2549,true
size-xlarge,size,16,2608,true
size-xlarge,size,17,2631,true
size-xlarge,size,18,2538,true
size-xlarge,size,19,2625,true
size-xlarge,size,20,2605,true
size-medium,size,1,2559,true
size-medium,size,2,2540,true
size-medium,size,3,2577,true
size-medium,size,4,2559,true
size-medium,size,5,2527,true
size-medium,size,6,2567,true
size-medium,size,7,2586,true
size-medium,size,8,2555,true
size-medium,size,9,2527,true
size-medium,size,10,2532,true
size-medium,size,11,2589,true
size-medium,size,12,2523,true
size-medium,size,13,2592,true
size-medium,size,14,2571,true
size-medium,size,15,2563,true
size-medium,size,16,2550,true
size-medium,size,17,2562,true
size-medium,size,18,2529,true
size-medium,size,19,2547,true
size-medium,size,20,2585,true
size-large,size,1,2579,true
size-large,size,2,2582,true
size-large,size,3,2565,true
size-large,size,4,2551,true
size-large,size,5,2535,true
size-large,size,6,2548,true
size-large,size,7,2530,true
size-large,size,8,2570,true
size-large,size,9,2546,true
size-large,size,10,2588,true
size-large,size,11,2547,true
size-large,size,12,2565,true
size-large,size,13,2537,true
size-large,size,14,2564,true
size-large,size,15,2590,true
size-large,size,16,2572,true
size-large,size,17,2565,true
size-large,size,18,2531,true
size-large,size,19,2687,true
size-large,size,20,2569,true
size-small,size,1,2563,true
size-small,size,2,2581,true
size-small,size,3,2548,true
size-small,size,4,2580,true
size-small,size,5,2544,true
size-small,size,6,2548,true
size-small,size,7,2529,true
size-small,size,8,2554,true
size-small,size,9,2559,true
size-small,size,10,2572,true
size-small,size,11,2556,true
size-small,size,12,2580,true
size-small,size,13,2641,true
size-small,size,14,2607,true
size-small,size,15,2729,true
size-small,size,16,2738,true
size-small,size,17,2749,true
size-small,size,18,2613,true
size-small,size,19,2682,true
size-small,size,20,2697,true
