condition,group,iteration,client_ms,accepted
baseline,baseline,1,2180,true
baseline,baseline,2,2316,true
baseline,baseline,3,2187,true
baseline,baseline,4,2232,true
baseline,baseline,5,2251,true
baseline,baseline,6,2232,true
baseline,baseline,7,2146,true
baseline,baseline,8,2166,true
baseline,baseline,9,2141,true
baseline,baseline,10,2125,true
baseline,baseline,11,2145,true
baseline,baseline,12,2161,true
baseline,baseline,13,2145,true
baseline,baseline,14,2180,true
baseline,baseline,15,2128,true
baseline,baseline,16,2288,true
baseline,baseline,17,2159,true
baseline,baseline,18,2234,true
baseline,baseline,19,2175,true
baseline,baseline,20,2178,true
baseline,baseline,21,2438,true
baseline,baseline,22,2181,true
baseline,baseline,23,2244,true
baseline,baseline,24,2205,true
baseline,baseline,25,2193,true
baseline,baseline,26,2185,true
baseline,baseline,27,2189,true
baseline,baseline,28,2186,true
baseline,baseline,29,2251,true
baseline,baseline,30,2275,true
enforce,enforce,1,2411,true
enforce,enforce,2,2269,true
enforce,enforce,3,2260,true
enforce,enforce,4,2299,true
enforce,enforce,5,2230,true
enforce,enforce,6,2220,true
enforce,enforce,7,2279,true
enforce,enforce,8,2277,true
enforce,enforce,9,2234,true
enforce,enforce,10,2471,true
enforce,enforce,11,2431,true
enforce,enforce,12,2395,true
enforce,enforce,13,2454,true
enforce,enforce,14,2220,true
enforce,enforce,15,2180,true
enforce,enforce,16,2341,true
enforce,enforce,17,2274,true
enforce,enforce,18,2187,true
enforce,enforce,19,2373,true
enforce,enforce,20,2407,true
enforce,enforce,21,2215,true
enforce,enforce,22,2542,true
enforce,enforce,23,2393,true
enforce,enforce,24,2234,true
enforce,enforce,25,2201,true
enforce,enforce,26,2280,true
enforce,enforce,27,2178,true
enforce,enforce,28,2222,true
enforce,enforce,29,2187,true
enforce,enforce,30,2182,true
audit,audit,1,2238,true
audit,audit,2,2233,true
audit,audit,3,2204,true
audit,audit,4,2191,true
audit,audit,5,2194,true
audit,audit,6,2261,true
audit,audit,7,2186,true
audit,audit,8,2198,true
audit,audit,9,2245,true
audit,audit,10,2186,true
audit,audit,11,2182,true
audit,audit,12,2197,true
audit,audit,13,2203,true
audit,audit,14,2202,true
audit,audit,15,2262,true
audit,audit,16,2174,true
audit,audit,17,2194,true
audit,audit,18,2171,true
audit,audit,19,2225,true
audit,audit,20,2220,true
audit,audit,21,2213,true
audit,audit,22,2231,true
audit,audit,23,2239,true
audit,audit,24,2219,true
audit,audit,25,2194,true
audit,audit,26,2236,true
audit,audit,27,2266,true
audit,audit,28,2385,true
audit,audit,29,2279,true
audit,audit,30,2280,true
