condition,group,iteration,client_ms,accepted
size-xlarge,size,1,2166,true
size-xlarge,size,2,2198,true
size-xlarge,size,3,2160,true
size-xlarge,size,4,2165,true
size-xlarge,size,5,2256,true
size-xlarge,size,6,2259,true
size-xlarge,size,7,2377,true
size-xlarge,size,8,2195,true
size-xlarge,size,9,2206,true
size-xlarge,size,10,2376,true
size-xlarge,size,11,2225,true
size-xlarge,size,12,2257,true
size-xlarge,size,13,2208,true
size-xlarge,size,14,2192,true
size-xlarge,size,15,2173,true
size-xlarge,size,16,2167,true
size-xlarge,size,17,2167,true
size-xlarge,size,18,2186,true
size-xlarge,size,19,2194,true
size-xlarge,size,20,2275,true
size-medium,size,1,2321,true
size-medium,size,2,2250,true
size-medium,size,3,2263,true
size-medium,size,4,2332,true
size-medium,size,5,2348,true
size-medium,size,6,2291,true
size-medium,size,7,2338,true
size-medium,size,8,2329,true
size-medium,size,9,2169,true
size-medium,size,10,2365,true
size-medium,size,11,2139,true
size-medium,size,12,2181,true
size-medium,size,13,2315,true
size-medium,size,14,2219,true
size-medium,size,15,2182,true
size-medium,size,16,2190,true
size-medium,size,17,2176,true
size-medium,size,18,2186,true
size-medium,size,19,2215,true
size-medium,size,20,2141,true
size-large,size,1,2202,true
size-large,size,2,2235,true
size-large,size,3,2211,true
size-large,size,4,2221,true
size-large,size,5,2177,true
size-large,size,6,2263,true
size-large,size,7,2242,true
size-large,size,8,2173,true
size-large,size,9,2226,true
size-large,size,10,2180,true
size-large,size,11,2201,true
size-large,size,12,2223,true
size-large,size,13,2230,true
size-large,size,14,2221,true
size-large,size,15,2203,true
size-large,size,16,2250,true
size-large,size,17,2277,true
size-large,size,18,2193,true
size-large,size,19,2193,true
size-large,size,20,2185,true
size-small,size,1,3296,true
size-small,size,2,2205,true
size-small,size,3,2182,true
size-small,size,4,2197,true
size-small,size,5,2159,true
size-small,size,6,2336,true
size-small,size,7,2315,true
size-small,size,8,2177,true
size-small,size,9,2262,true
size-small,size,10,2227,true
size-small,size,11,2202,true
size-small,size,12,2240,true
size-small,size,13,2225,true
size-small,size,14,2199,true
size-small,size,15,2232,true
size-small,size,16,2215,true
size-small,size,17,2215,true
size-small,size,18,2193,true
size-small,size,19,2250,true
size-small,size,20,2173,true
