condition,group,iteration,client_ms,accepted
baseline,baseline,1,2567,true
baseline,baseline,2,2505,true
baseline,baseline,3,2511,true
baseline,baseline,4,2533,true
baseline,baseline,5,2569,true
baseline,baseline,6,2584,true
baseline,baseline,7,2584,true
baseline,baseline,8,2495,true
baseline,baseline,9,2582,true
baseline,baseline,10,2549,true
baseline,baseline,11,2593,true
baseline,baseline,12,2571,true
baseline,baseline,13,2505,true
baseline,baseline,14,2533,true
baseline,baseline,15,2578,true
baseline,baseline,16,2537,true
baseline,baseline,17,2542,true
baseline,baseline,18,2561,true
baseline,baseline,19,2543,true
baseline,baseline,20,2499,true
baseline,baseline,21,2511,true
baseline,baseline,22,2564,true
baseline,baseline,23,2500,true
baseline,baseline,24,2504,true
baseline,baseline,25,2532,true
baseline,baseline,26,2536,true
baseline,baseline,27,2566,true
baseline,baseline,28,2508,true
baseline,baseline,29,2546,true
baseline,baseline,30,2543,true
audit,audit,1,2590,true
audit,audit,2,2621,true
audit,audit,3,2612,true
audit,audit,4,2624,true
audit,audit,5,2693,true
audit,audit,6,2683,true
audit,audit,7,2774,true
audit,audit,8,2711,true
audit,audit,9,2685,true
audit,audit,10,2739,true
audit,audit,11,2699,true
audit,audit,12,2691,true
audit,audit,13,2683,true
audit,audit,14,2739,true
audit,audit,15,2655,true
audit,audit,16,2683,true
audit,audit,17,2721,true
audit,audit,18,2697,true
audit,audit,19,2693,true
audit,audit,20,2718,true
audit,audit,21,2703,true
audit,audit,22,2760,true
audit,audit,23,2716,true
audit,audit,24,2663,true
audit,audit,25,2696,true
audit,audit,26,2718,true
audit,audit,27,2707,true
audit,audit,28,2646,true
audit,audit,29,2709,true
audit,audit,30,2745,true
enforce,enforce,1,2596,true
enforce,enforce,2,2632,true
enforce,enforce,3,2715,true
enforce,enforce,4,2607,true
enforce,enforce,5,2720,true
enforce,enforce,6,2605,true
enforce,enforce,7,2662,true
enforce,enforce,8,2667,true
enforce,enforce,9,2700,true
enforce,enforce,10,2674,true
enforce,enforce,11,2607,true
enforce,enforce,12,2663,true
enforce,enforce,13,2649,true
enforce,enforce,14,2711,true
enforce,enforce,15,2781,true
enforce,enforce,16,2558,true
enforce,enforce,17,2635,true
enforce,enforce,18,2647,true
enforce,enforce,19,2586,true
enforce,enforce,20,2570,true
enforce,enforce,21,2680,true
enforce,enforce,22,2582,true
enforce,enforce,23,2668,true
enforce,enforce,24,2682,true
enforce,enforce,25,2589,true
enforce,enforce,26,2542,true
enforce,enforce,27,2665,true
enforce,enforce,28,2624,true
enforce,enforce,29,2633,true
enforce,enforce,30,2686,true
