condition,group,iteration,client_ms,accepted
baseline,baseline,1,2262,true
baseline,baseline,2,2436,true
baseline,baseline,3,2563,true
baseline,baseline,4,2638,true
baseline,baseline,5,2263,true
baseline,baseline,6,2345,true
baseline,baseline,7,2699,true
baseline,baseline,8,2229,true
baseline,baseline,9,2294,true
baseline,baseline,10,2728,true
baseline,baseline,11,2415,true
baseline,baseline,12,2330,true
baseline,baseline,13,2251,true
baseline,baseline,14,2247,true
baseline,baseline,15,2361,true
baseline,baseline,16,2244,true
baseline,baseline,17,2447,true
baseline,baseline,18,2423,true
baseline,baseline,19,2203,true
baseline,baseline,20,2224,true
baseline,baseline,21,2311,true
baseline,baseline,22,2339,true
baseline,baseline,23,2388,true
baseline,baseline,24,2378,true
baseline,baseline,25,2229,true
baseline,baseline,26,2251,true
baseline,baseline,27,2509,true
baseline,baseline,28,2470,true
baseline,baseline,29,2228,true
baseline,baseline,30,2209,true
audit,audit,1,3408,true
audit,audit,2,3308,true
audit,audit,3,3305,true
audit,audit,4,3481,true
audit,audit,5,3389,true
audit,audit,6,3172,true
audit,audit,7,3285,true
audit,audit,8,3490,true
audit,audit,9,3306,true
audit,audit,10,3259,true
audit,audit,11,3494,true
audit,audit,12,3457,true
audit,audit,13,3317,true
audit,audit,14,3290,true
audit,audit,15,3248,true
audit,audit,16,3272,true
audit,audit,17,3250,true
audit,audit,18,3397,true
audit,audit,19,3291,true
audit,audit,20,3313,true
audit,audit,21,3289,true
audit,audit,22,3286,true
audit,audit,23,3263,true
audit,audit,24,3504,true
audit,audit,25,3216,true
audit,audit,26,3435,true
audit,audit,27,3487,true
audit,audit,28,3235,true
audit,audit,29,3200,true
audit,audit,30,3273,true
enforce,enforce,1,3552,true
enforce,enforce,2,3424,true
enforce,enforce,3,3398,true
enforce,enforce,4,3340,true
enforce,enforce,5,3267,true
enforce,enforce,6,3326,true
enforce,enforce,7,3321,true
enforce,enforce,8,3196,true
enforce,enforce,9,3296,true
enforce,enforce,10,3285,true
enforce,enforce,11,3238,true
enforce,enforce,12,3304,true
enforce,enforce,13,3357,true
enforce,enforce,14,3364,true
enforce,enforce,15,3292,true
enforce,enforce,16,3266,true
enforce,enforce,17,3334,true
enforce,enforce,18,3385,true
enforce,enforce,19,3392,true
enforce,enforce,20,3502,true
enforce,enforce,21,3334,true
enforce,enforce,22,3290,true
enforce,enforce,23,3349,true
enforce,enforce,24,3306,true
enforce,enforce,25,3428,true
enforce,enforce,26,3308,true
enforce,enforce,27,3438,true
enforce,enforce,28,3344,true
enforce,enforce,29,3281,true
enforce,enforce,30,3338,true
