condition,group,iteration,client_ms,accepted
baseline,baseline,1,2597,true
baseline,baseline,2,2615,true
baseline,baseline,3,2633,true
baseline,baseline,4,2548,true
baseline,baseline,5,2580,true
baseline,baseline,6,2642,true
baseline,baseline,7,2717,true
baseline,baseline,8,2648,true
baseline,baseline,9,2624,true
baseline,baseline,10,2591,true
baseline,baseline,11,2623,true
baseline,baseline,12,2628,true
baseline,baseline,13,2622,true
baseline,baseline,14,2607,true
baseline,baseline,15,2578,true
baseline,baseline,16,2685,true
baseline,baseline,17,2641,true
baseline,baseline,18,2657,true
baseline,baseline,19,2580,true
baseline,baseline,20,2594,true
baseline,baseline,21,2619,true
baseline,baseline,22,2628,true
baseline,baseline,23,2650,true
baseline,baseline,24,2650,true
baseline,baseline,25,2587,true
baseline,baseline,26,2677,true
baseline,baseline,27,2568,true
baseline,baseline,28,2662,true
baseline,baseline,29,2655,true
baseline,baseline,30,2743,true
audit,audit,1,2619,true
audit,audit,2,2614,true
audit,audit,3,2648,true
audit,audit,4,2656,true
audit,audit,5,2614,true
audit,audit,6,2658,true
audit,audit,7,2654,true
audit,audit,8,2602,true
audit,audit,9,2616,true
audit,audit,10,2711,true
audit,audit,11,2620,true
audit,audit,12,2655,true
audit,audit,13,2676,true
audit,audit,14,2766,true
audit,audit,15,2783,true
audit,audit,16,2711,true
audit,audit,17,2665,true
audit,audit,18,2678,true
audit,audit,19,2656,true
audit,audit,20,2611,true
audit,audit,21,2654,true
audit,audit,22,2684,true
audit,audit,23,2659,true
audit,audit,24,2654,true
audit,audit,25,2581,true
audit,audit,26,2594,true
audit,audit,27,3047,true
audit,audit,28,2649,true
audit,audit,29,2680,true
audit,audit,30,2636,true
enforce,enforce,1,2675,true
enforce,enforce,2,2679,true
enforce,enforce,3,2655,true
enforce,enforce,4,2708,true
enforce,enforce,5,2708,true
enforce,enforce,6,2682,true
enforce,enforce,7,2759,true
enforce,enforce,8,2688,true
enforce,enforce,9,2707,true
enforce,enforce,10,2626,true
enforce,enforce,11,2609,true
enforce,enforce,12,2631,true
enforce,enforce,13,2587,true
enforce,enforce,14,2638,true
enforce,enforce,15,2659,true
enforce,enforce,16,2677,true
enforce,enforce,17,2666,true
enforce,enforce,18,2624,true
enforce,enforce,19,2621,true
enforce,enforce,20,2667,true
enforce,enforce,21,2626,true
enforce,enforce,22,2748,true
enforce,enforce,23,2684,true
enforce,enforce,24,2641,true
enforce,enforce,25,2701,true
enforce,enforce,26,2650,true
enforce,enforce,27,2632,true
enforce,enforce,28,2621,true
enforce,enforce,29,2633,true
enforce,enforce,30,2645,true
