condition,group,iteration,client_ms,accepted
size-medium,size,1,1926,true
size-medium,size,2,1895,true
size-medium,size,3,1885,true
size-medium,size,4,2090,true
size-medium,size,5,2078,true
size-medium,size,6,1884,true
size-medium,size,7,1846,true
size-medium,size,8,1801,true
size-medium,size,9,1905,true
size-medium,size,10,1890,true
size-medium,size,11,1814,true
size-medium,size,12,1868,true
size-medium,size,13,1857,true
size-medium,size,14,2022,true
size-medium,size,15,2031,true
size-medium,size,16,1842,true
size-medium,size,17,1873,true
size-medium,size,18,1907,true
size-medium,size,19,1920,true
size-medium,size,20,1818,true
size-small,size,1,1897,true
size-small,size,2,1921,true
size-small,size,3,1875,true
size-small,size,4,1924,true
size-small,size,5,1883,true
size-small,size,6,1836,true
size-small,size,7,1909,true
size-small,size,8,1878,true
size-small,size,9,1918,true
size-small,size,10,1850,true
size-small,size,11,1897,true
size-small,size,12,1856,true
size-small,size,13,2005,true
size-small,size,14,1934,true
size-small,size,15,1921,true
size-small,size,16,1835,true
size-small,size,17,1911,true
size-small,size,18,1915,true
size-small,size,19,1845,true
size-small,size,20,1935,true
size-xlarge,size,1,3750,false
size-xlarge,size,2,3865,false
size-xlarge,size,3,3767,false
size-xlarge,size,4,3832,false
size-xlarge,size,5,3833,false
size-xlarge,size,6,3855,false
size-xlarge,size,7,3791,false
size-xlarge,size,8,3900,false
size-xlarge,size,9,3801,false
size-xlarge,size,10,3723,false
size-xlarge,size,11,4023,false
size-xlarge,size,12,3828,false
size-xlarge,size,13,3762,false
size-xlarge,size,14,3781,false
size-xlarge,size,15,3778,false
size-xlarge,size,16,3749,false
size-xlarge,size,17,3730,false
size-xlarge,size,18,3703,false
size-xlarge,size,19,3709,false
size-xlarge,size,20,3814,false
size-large,size,1,3473,true
size-large,size,2,1975,true
size-large,size,3,1978,true
size-large,size,4,1945,true
size-large,size,5,1896,true
size-large,size,6,1829,true
size-large,size,7,1903,true
size-large,size,8,1878,true
size-large,size,9,1806,true
size-large,size,10,2016,true
size-large,size,11,1912,true
size-large,size,12,1973,true
size-large,size,13,1850,true
size-large,size,14,1884,true
size-large,size,15,1907,true
size-large,size,16,1846,true
size-large,size,17,1819,true
size-large,size,18,1792,true
size-large,size,19,1972,true
size-large,size,20,1872,true
