condition,group,iteration,client_ms,accepted
size-small,size,1,3552,true
size-small,size,2,3627,true
size-small,size,3,3550,true
size-small,size,4,3663,true
size-small,size,5,3546,true
size-small,size,6,3566,true
size-small,size,7,3527,true
size-small,size,8,3531,true
size-small,size,9,3571,true
size-small,size,10,3586,true
size-small,size,11,3673,true
size-small,size,12,3568,true
size-small,size,13,3601,true
size-small,size,14,3590,true
size-small,size,15,3481,true
size-small,size,16,3588,true
size-small,size,17,3584,true
size-small,size,18,3496,true
size-small,size,19,3564,true
size-small,size,20,3619,true
size-xlarge,size,1,4663,false
size-xlarge,size,2,4619,false
size-xlarge,size,3,4651,false
size-xlarge,size,4,4691,false
size-xlarge,size,5,4584,false
size-xlarge,size,6,4655,false
size-xlarge,size,7,4672,false
size-xlarge,size,8,4643,false
size-xlarge,size,9,4619,false
size-xlarge,size,10,4593,false
size-xlarge,size,11,4681,false
size-xlarge,size,12,4674,false
size-xlarge,size,13,4692,false
size-xlarge,size,14,4650,false
size-xlarge,size,15,4626,false
size-xlarge,size,16,4675,false
size-xlarge,size,17,4797,false
size-xlarge,size,18,4682,false
size-xlarge,size,19,4691,false
size-xlarge,size,20,4664,false
size-medium,size,1,3662,true
size-medium,size,2,3701,true
size-medium,size,3,3621,true
size-medium,size,4,3658,true
size-medium,size,5,3674,true
size-medium,size,6,3706,true
size-medium,size,7,3696,true
size-medium,size,8,3682,true
size-medium,size,9,3674,true
size-medium,size,10,3615,true
size-medium,size,11,3795,true
size-medium,size,12,3677,true
size-medium,size,13,3753,true
size-medium,size,14,3663,true
size-medium,size,15,3697,true
size-medium,size,16,4298,true
size-medium,size,17,3683,true
size-medium,size,18,3716,true
size-medium,size,19,3654,true
size-medium,size,20,3728,true
size-large,size,1,4312,true
size-large,size,2,4310,true
size-large,size,3,5274,true
size-large,size,4,4281,true
size-large,size,5,4227,true
size-large,size,6,4226,true
size-large,size,7,4205,true
size-large,size,8,4226,true
size-large,size,9,4236,true
size-large,size,10,4305,true
size-large,size,11,4268,true
size-large,size,12,4271,true
size-large,size,13,4312,true
size-large,size,14,4239,true
size-large,size,15,4279,true
size-large,size,16,4331,true
size-large,size,17,4944,true
size-large,size,18,4440,true
size-large,size,19,4297,true
size-large,size,20,4303,true
