condition,group,iteration,client_ms,accepted
baseline,baseline,1,1110,true
baseline,baseline,2,1111,true
baseline,baseline,3,1106,true
baseline,baseline,4,1053,true
baseline,baseline,5,1034,true
baseline,baseline,6,1034,true
baseline,baseline,7,1043,true
baseline,baseline,8,1039,true
baseline,baseline,9,1024,true
baseline,baseline,10,1106,true
baseline,baseline,11,1032,true
baseline,baseline,12,1118,true
baseline,baseline,13,1035,true
baseline,baseline,14,1120,true
baseline,baseline,15,1029,true
baseline,baseline,16,1103,true
baseline,baseline,17,1024,true
baseline,baseline,18,1119,true
baseline,baseline,19,1091,true
baseline,baseline,20,1034,true
baseline,baseline,21,1034,true
baseline,baseline,22,1057,true
baseline,baseline,23,1108,true
baseline,baseline,24,1103,true
baseline,baseline,25,1035,true
baseline,baseline,26,1029,true
baseline,baseline,27,1113,true
baseline,baseline,28,1118,true
baseline,baseline,29,1039,true
baseline,baseline,30,1110,true
audit,audit,1,3418,true
audit,audit,2,1972,true
audit,audit,3,2009,true
audit,audit,4,2077,true
audit,audit,5,2032,true
audit,audit,6,1993,true
audit,audit,7,1976,true
audit,audit,8,2028,true
audit,audit,9,2050,true
audit,audit,10,1968,true
audit,audit,11,1916,true
audit,audit,12,1962,true
audit,audit,13,1993,true
audit,audit,14,2053,true
audit,audit,15,2120,true
audit,audit,16,1995,true
audit,audit,17,1921,true
audit,audit,18,1930,true
audit,audit,19,2081,true
audit,audit,20,1945,true
audit,audit,21,1939,true
audit,audit,22,1998,true
audit,audit,23,1948,true
audit,audit,24,1932,true
audit,audit,25,1999,true
audit,audit,26,2105,true
audit,audit,27,2049,true
audit,audit,28,2044,true
audit,audit,29,1914,true
audit,audit,30,1991,true
enforce,enforce,1,1891,true
enforce,enforce,2,1978,true
enforce,enforce,3,1918,true
enforce,enforce,4,2011,true
enforce,enforce,5,1983,true
enforce,enforce,6,1924,true
enforce,enforce,7,1847,true
enforce,enforce,8,1948,true
enforce,enforce,9,1954,true
enforce,enforce,10,2049,true
enforce,enforce,11,1893,true
enforce,enforce,12,1854,true
enforce,enforce,13,2068,true
enforce,enforce,14,2093,true
enforce,enforce,15,2160,true
enforce,enforce,16,1944,true
enforce,enforce,17,1888,true
enforce,enforce,18,1982,true
enforce,enforce,19,1942,true
enforce,enforce,20,1953,true
enforce,enforce,21,2042,true
enforce,enforce,22,1929,true
enforce,enforce,23,1961,true
enforce,enforce,24,1887,true
enforce,enforce,25,2109,true
enforce,enforce,26,2057,true
enforce,enforce,27,1981,true
enforce,enforce,28,2023,true
enforce,enforce,29,1959,true
enforce,enforce,30,2005,true
