condition,group,iteration,client_ms,accepted
size-large,size,1,2826,true
size-large,size,2,3299,true
size-large,size,3,2795,true
size-large,size,4,2981,true
size-large,size,5,2954,true
size-large,size,6,2852,true
size-large,size,7,2770,true
size-large,size,8,2779,true
size-large,size,9,2771,true
size-large,size,10,2694,true
size-large,size,11,2801,true
size-large,size,12,2863,true
size-large,size,13,2738,true
size-large,size,14,2702,true
size-large,size,15,2692,true
size-large,size,16,2805,true
size-large,size,17,2709,true
size-large,size,18,2843,true
size-large,size,19,2834,true
size-large,size,20,2792,true
size-medium,size,1,2430,true
size-medium,size,2,2503,true
size-medium,size,3,2565,true
size-medium,size,4,2436,true
size-medium,size,5,2438,true
size-medium,size,6,2545,true
size-medium,size,7,2482,true
size-medium,size,8,2476,true
size-medium,size,9,2452,true
size-medium,size,10,2494,true
size-medium,size,11,2543,true
size-medium,size,12,2549,true
size-medium,size,13,2437,true
size-medium,size,14,2506,true
size-medium,size,15,2534,true
size-medium,size,16,2416,true
size-medium,size,17,2453,true
size-medium,size,18,2597,true
size-medium,size,19,2531,true
size-medium,size,20,2676,true
size-small,size,1,2506,true
size-small,size,2,2424,true
size-small,size,3,2512,true
size-small,size,4,2369,true
size-small,size,5,2543,true
size-small,size,6,2492,true
size-small,size,7,2559,true
size-small,size,8,2373,true
size-small,size,9,2534,true
size-small,size,10,2481,true
size-small,size,11,2466,true
size-small,size,12,2556,true
size-small,size,13,2468,true
size-small,size,14,2442,true
size-small,size,15,2586,true
size-small,size,16,2417,true
size-small,size,17,2445,true
size-small,size,18,2511,true
size-small,size,19,2537,true
size-small,size,20,2486,true
size-xlarge,size,1,3186,false
size-xlarge,size,2,3196,false
size-xlarge,size,3,3231,false
size-xlarge,size,4,3126,false
size-xlarge,size,5,3272,false
size-xlarge,size,6,3099,false
size-xlarge,size,7,3680,false
size-xlarge,size,8,3141,false
size-xlarge,size,9,3134,false
size-xlarge,size,10,3040,false
size-xlarge,size,11,3039,false
size-xlarge,size,12,3058,false
size-xlarge,size,13,3098,false
size-xlarge,size,14,3175,false
size-xlarge,size,15,3148,false
size-xlarge,size,16,3211,false
size-xlarge,size,17,3141,false
size-xlarge,size,18,3115,false
size-xlarge,size,19,3065,false
size-xlarge,size,20,3163,false
