condition,group,iteration,client_ms,accepted
baseline,baseline,1,916,true
baseline,baseline,2,894,true
baseline,baseline,3,913,true
baseline,baseline,4,914,true
baseline,baseline,5,931,true
baseline,baseline,6,974,true
baseline,baseline,7,921,true
baseline,baseline,8,901,true
baseline,baseline,9,908,true
baseline,baseline,10,895,true
baseline,baseline,11,1000,true
baseline,baseline,12,931,true
baseline,baseline,13,904,true
baseline,baseline,14,969,true
baseline,baseline,15,796,true
baseline,baseline,16,911,true
baseline,baseline,17,903,true
baseline,baseline,18,900,true
baseline,baseline,19,910,true
baseline,baseline,20,922,true
baseline,baseline,21,902,true
baseline,baseline,22,973,true
baseline,baseline,23,909,true
baseline,baseline,24,926,true
baseline,baseline,25,917,true
baseline,baseline,26,786,true
baseline,baseline,27,900,true
baseline,baseline,28,932,true
baseline,baseline,29,906,true
baseline,baseline,30,982,true
audit,audit,1,920,true
audit,audit,2,928,true
audit,audit,3,916,true
audit,audit,4,975,true
audit,audit,5,916,true
audit,audit,6,917,true
audit,audit,7,919,true
audit,audit,8,903,true
audit,audit,9,803,true
audit,audit,10,920,true
audit,audit,11,933,true
audit,audit,12,990,true
audit,audit,13,915,true
audit,audit,14,919,true
audit,audit,15,923,true
audit,audit,16,916,true
audit,audit,17,908,true
audit,audit,18,936,true
audit,audit,19,925,true
audit,audit,20,979,true
audit,audit,21,913,true
audit,audit,22,813,true
audit,audit,23,1061,true
audit,audit,24,933,true
audit,audit,25,925,true
audit,audit,26,939,true
audit,audit,27,927,true
audit,audit,28,979,true
audit,audit,29,910,true
audit,audit,30,920,true
enforce,enforce,1,923,true
enforce,enforce,2,929,true
enforce,enforce,3,933,true
enforce,enforce,4,927,true
enforce,enforce,5,976,true
enforce,enforce,6,913,true
enforce,enforce,7,803,true
enforce,enforce,8,915,true
enforce,enforce,9,923,true
enforce,enforce,10,929,true
enforce,enforce,11,921,true
enforce,enforce,12,932,true
enforce,enforce,13,990,true
enforce,enforce,14,920,true
enforce,enforce,15,938,true
enforce,enforce,16,917,true
enforce,enforce,17,929,true
enforce,enforce,18,937,true
enforce,enforce,19,926,true
enforce,enforce,20,864,true
enforce,enforce,21,897,true
enforce,enforce,22,926,true
enforce,enforce,23,913,true
enforce,enforce,24,916,true
enforce,enforce,25,931,true
enforce,enforce,26,980,true
enforce,enforce,27,928,true
enforce,enforce,28,991,true
enforce,enforce,29,919,true
enforce,enforce,30,897,true
