condition,group,iteration,client_ms,accepted
size-xlarge,size,1,2977,false
size-xlarge,size,2,3647,false
size-xlarge,size,3,2869,false
size-xlarge,size,4,2810,false
size-xlarge,size,5,2867,false
size-xlarge,size,6,2854,false
size-xlarge,size,7,2943,false
size-xlarge,size,8,2844,false
size-xlarge,size,9,3019,false
size-xlarge,size,10,2929,false
size-xlarge,size,11,2888,false
size-xlarge,size,12,2788,false
size-xlarge,size,13,2833,false
size-xlarge,size,14,2866,false
size-xlarge,size,15,2921,false
size-xlarge,size,16,2915,false
size-xlarge,size,17,2911,false
size-xlarge,size,18,2749,false
size-xlarge,size,19,2823,false
size-xlarge,size,20,2845,false
size-medium,size,1,2441,true
size-medium,size,2,1157,true
size-medium,size,3,1177,true
size-medium,size,4,1149,true
size-medium,size,5,1153,true
size-medium,size,6,1143,true
size-medium,size,7,1134,true
size-medium,size,8,1155,true
size-medium,size,9,1139,true
size-medium,size,10,1245,true
size-medium,size,11,1145,true
size-medium,size,12,1151,true
size-medium,size,13,1162,true
size-medium,size,14,1143,true
size-medium,size,15,1198,true
size-medium,size,16,1138,true
size-medium,size,17,1154,true
size-medium,size,18,1174,true
size-medium,size,19,1149,true
size-medium,size,20,1150,true
size-large,size,1,1162,true
size-large,size,2,1151,true
size-large,size,3,1146,true
size-large,size,4,1149,true
size-large,size,5,1140,true
size-large,size,6,1140,true
size-large,size,7,1149,true
size-large,size,8,1136,true
size-large,size,9,1139,true
size-large,size,10,1145,true
size-large,size,11,1161,true
size-large,size,12,1155,true
size-large,size,13,1139,true
size-large,size,14,1142,true
size-large,size,15,1134,true
size-large,size,16,1136,true
size-large,size,17,1169,true
size-large,size,18,1143,true
size-large,size,19,1158,true
size-large,size,20,1147,true
size-small,size,1,1149,true
size-small,size,2,2542,true
size-small,size,3,1151,true
size-small,size,4,1149,true
size-small,size,5,1160,true
size-small,size,6,1139,true
size-small,size,7,1153,true
size-small,size,8,1155,true
size-small,size,9,1147,true
size-small,size,10,1146,true
size-small,size,11,1150,true
size-small,size,12,1164,true
size-small,size,13,1142,true
size-small,size,14,1143,true
size-small,size,15,1137,true
size-small,size,16,1165,true
size-small,size,17,1153,true
size-small,size,18,1145,true
size-small,size,19,1154,true
size-small,size,20,1156,true
